Threshold	FP Rate	TP Rate
0.000000	0.000000	0.000000
0.010000	0.000000	0.000000
0.020000	0.000000	0.000000
0.030000	0.000000	0.000000
0.040000	0.000000	0.000000
0.049999	0.000000	0.000000
0.059999	0.000000	0.000000
0.069999	0.000000	0.000000
0.079999	0.000000	0.000000
0.089999	0.000000	0.000000
0.099999	0.000000	0.000000
0.109999	0.000000	0.000000
0.119999	0.000000	0.000000
0.129998	0.000000	0.001096
0.139998	0.000000	0.001096
0.149998	0.000000	0.003289
0.159998	0.000000	0.003289
0.169998	0.000000	0.006579
0.179998	0.000000	0.008772
0.189998	0.000000	0.015351
0.199998	0.000000	0.019737
0.209997	0.000000	0.027412
0.219997	0.000000	0.035088
0.229997	0.000000	0.046053
0.239997	0.000000	0.053728
0.249997	0.000000	0.064693
0.259997	0.000000	0.078947
0.269997	0.000000	0.101974
0.279997	0.000000	0.116228
0.289996	0.000000	0.135965
0.299996	0.000000	0.158991
0.309996	0.000000	0.188596
0.319996	0.000000	0.214912
0.329996	0.000000	0.243421
0.339996	0.000000	0.266447
0.349996	0.000000	0.291667
0.359996	0.000000	0.321272
0.369996	0.000000	0.347588
0.379995	0.000000	0.373904
0.389995	0.000000	0.394737
0.399995	0.000000	0.424342
0.409995	0.000000	0.451754
0.419995	0.000000	0.472588
0.429995	0.000000	0.501096
0.439995	0.000000	0.526316
0.449995	0.000000	0.550439
0.459994	0.000000	0.571272
0.469994	0.000937	0.583333
0.479994	0.002812	0.603070
0.489994	0.002812	0.615132
0.499994	0.002812	0.632675
0.509994	0.002812	0.646930
0.519994	0.002812	0.663377
0.529994	0.002812	0.678728
0.539993	0.003749	0.688596
0.549993	0.003749	0.698465
0.559993	0.006560	0.711623
0.569993	0.008435	0.724781
0.579993	0.009372	0.737939
0.589993	0.010309	0.750000
0.599993	0.010309	0.760965
0.609993	0.012184	0.773026
0.619992	0.014995	0.781798
0.629992	0.015933	0.793860
0.639992	0.016870	0.802632
0.649992	0.018744	0.807018
0.659992	0.021556	0.814693
0.669992	0.023430	0.820175
0.679992	0.023430	0.828947
0.689992	0.028116	0.842105
0.699992	0.029991	0.851974
0.709991	0.033739	0.860746
0.719991	0.035614	0.871711
0.729991	0.042174	0.876096
0.739991	0.047798	0.878289
0.749991	0.051546	0.884868
0.759991	0.057170	0.889254
0.769991	0.062793	0.898026
0.779991	0.071228	0.907895
0.789990	0.075914	0.911184
0.799990	0.080600	0.917763
0.809990	0.087160	0.923246
0.819990	0.094658	0.928728
0.829990	0.105904	0.933114
0.839990	0.118088	0.936404
0.849990	0.130272	0.937500
0.859990	0.145267	0.946272
0.869989	0.169634	0.951754
0.879989	0.187441	0.955044
0.889989	0.212746	0.958333
0.899989	0.253046	0.964912
0.909989	0.293346	0.971491
0.919989	0.324274	0.976974
0.929989	0.372071	0.976974
0.939989	0.420806	0.976974
0.949988	0.471415	0.980263
0.959988	0.551078	0.984649
0.969988	0.644799	0.987939
0.979988	0.744142	0.990132
0.989988	0.854733	0.993421
0.999988	0.999063	1.000000
1.009988	1.000000	1.000000
